parameter_type,parameter_type_text_short,parameter_type_text_long,parameter_category
1,Intens,Intens,1
2,Pan,Pan,2
3,Tilt,Tilt,2
4,Width,Width,6
5,Height,Height,6
6,Z,Z,3
7,Hue,Hue,3
8,Saturation,Saturation,3
9,Cyan,Cyan,3
10,Magenta,Magenta,3
11,Yellow,Yellow,3
12,Red,Red,3
13,Green,Green,3
14,Blue,Blue,3
15,Scroller,Scroller,3
16,Brightness,Brightness,3
17,Cooling_Fan,Cooling_Fan,3
18,Flow_Rate,Flow_Rate,5
19,Enable,Enable,5
21,Strobe_Mode,Strobe_Mode,5
22,Strobe_Duration,Strobe_Duration,5
24,Global_Pan,Global_Pan,2
25,Global_Tilt,Global_Tilt,2
26,Pitch,Pitch,2
27,Position_Blink,Position_Blink,2
48,Amber,Amber,3
49,Red_Orange,Red_Orange,3
50,Indigo,Indigo,3
51,White,White,3
52,Cool_White,Cool_White,3
53,Warm_White,Warm_White,3
59,CTB,CTB,3
60,CTC,CTC,3
61,CTO,CTO,3
64,Gobo_Offset_Amplitude,Gobo_Offset_Amplitude,4
66,Animation_Wheel_Mode,Animation_Wheel_Mode,4
73,Iris,Iris,5
76,Diffusion,Diffusion,5
78,Edge,Edge,5
79,Zoom,Zoom,5
83,Frame_Angle,Frame_Angle,6
84,Barndoor,Barndoor,6
85,Fresnel,Fresnel,5
86,Red_Adjust,Red_Adjust,3
87,Green_Adjust,Green_Adjust,3
88,Blue_Adjust,Blue_Adjust,3
89,In_Point,In_Point,4
90,Out_Point,Out_Point,4
91,Playback_Speed,Playback_Speed,4
95,Z_Rotate,Z_Rotate,6
96,Scale_X,Scale_X,6
97,Scale_Y,Scale_Y,6
98,X_Position_1,X_Position_1,6
99,Y_Position_1,Y_Position_1,6
100,Keystone_X1,Keystone_X1,6
101,Keystone_Y1,Keystone_Y1,6
102,Keystone_X2,Keystone_X2,6
103,Keystone_Y2,Keystone_Y2,6
104,Keystone_X3,Keystone_X3,6
105,Keystone_Y3,Keystone_Y3,6
106,Keystone_X4,Keystone_X4,6
107,Keystone_Y4,Keystone_Y4,6
108,Layer_Effect_Parameter,Layer_Effect_Parameter,5
109,Media_Level,Media_Level,4
110,Play_Mode,Play_Mode,4
118,Output_Level,Output_Level,5
119,Proj_Intens,Proj_Intens,5
120,Proj_Zoom,Proj_Zoom,5
121,Proj_Focus,Proj_Focus,5
122,Cam_Zoom,Cam_Zoom,5
123,Cam_Focus,Cam_Focus,5
124,Cam_Shutter,Cam_Shutter,5
128,Cam_Fx,Cam_Fx,5
129,Cam_Flip,Cam_Flip,5
131,Fixture_Global_Reset,Fixture_Global_Reset,7
138,Lamp_Power,Lamp_Power,7
140,Connected_Load,Connected_Load,5
145,Position_Reset,Position_Reset,7
181,Macro_Rate,Macro_Rate,5
185,Chase_Rate,Chase_Rate,5
187,Chase_Crossfade,Chase_Crossfade,5
192,Intens_2,Intens_2,1
195,Intens_3,Intens_3,1
198,Intens_4,Intens_4,1
199,Color_Select,Color_Select,3
200,Gobo_Select,Gobo_Select,4
201,Beam_Fx_Select,Beam_Fx_Select,4
202,Beam_Fx_Select_2,Beam_Fx_Select_2,4
203,Position_MSpeed,Position_MSpeed,2
204,Shutter_Strobe,Shutter_Strobe,5
205,Color_Wheel_Mode,Color_Wheel_Mode,3
206,Gobo_Index/Speed,Gobo_Index/Speed,4
207,Lamp_Control,Lamp_Control,7
208,Color_Mix,Color_Mix,3
209,Intensity_MSpeed,Intensity_MSpeed,1
210,Color_Index,Color_Index,3
211,Frame_Angle_A,Frame_Angle_A,6
212,Frame_Thrust_A,Frame_Thrust_A,6
213,Frame_Angle_B,Frame_Angle_B,6
214,Frame_Thrust_B,Frame_Thrust_B,6
215,Frame_Angle_C,Frame_Angle_C,6
216,Frame_Thrust_C,Frame_Thrust_C,6
217,Frame_Angle_D,Frame_Angle_D,6
218,Frame_Thrust_D,Frame_Thrust_D,6
219,Gobo_Select_2,Gobo_Select_2,4
220,Frame_Assembly,Frame_Assembly,6
221,Gobo_Index/Speed_2,Gobo_Index/Speed_2,4
222,Color_Select_2,Color_Select_2,3
225,Gobo_Wheel_Mode,Gobo_Wheel_Mode,4
226,Gobo_Wheel_Mode_2,Gobo_Wheel_Mode_2,4
